title,release_date,genres,year,director
The Mummy: Tomb of the Dragon Emperor,2008-07-01,Adventure Action Fantasy,2008,Unknown
Suicide Squad,2016-08-02,Action Adventure Crime Fantasy Science Fiction,2016,Unknown
Evan Almighty,2007-06-09,Fantasy Comedy Family,2007,Unknown
Edge of Tomorrow,2014-05-27,Action Science Fiction,2014,Unknown
Waterworld,1995-07-28,Adventure Action,1995,Unknown
G.I. Joe: The Rise of Cobra,2009-08-04,Adventure Action Thriller Science Fiction,2009,Unknown
Inside Out,2015-06-09,Drama Comedy Animation Family,2015,Unknown
The Jungle Book,2016-04-07,Family Adventure Drama Fantasy,2016,Unknown
Iron Man 2,2010-04-28,Adventure Action Science Fiction,2010,Unknown
Snow White and the Huntsman,2012-05-30,Adventure Fantasy Drama,2012,Unknown
Maleficent,2014-05-28,Fantasy Adventure Action Family Romance,2014,Unknown
Dawn of the Planet of the Apes,2014-06-26,Science Fiction Action Drama Thriller,2014,Unknown
The Lovers,2015-02-13,Action Adventure Science Fiction Romance,2015,Unknown
47 Ronin,2013-12-06,Drama Action Adventure Fantasy,2013,Unknown
Captain America: The Winter Soldier,2014-03-20,Action Adventure Science Fiction,2014,Unknown
Shrek Forever After,2010-05-16,Comedy Adventure Fantasy Animation Family,2010,Unknown
Tomorrowland,2015-05-19,Adventure Family Mystery Science Fiction,2015,Unknown
Big Hero 6,2014-10-24,Adventure Family Animation Action Comedy,2014,Unknown
Wreck-It Ralph,2012-11-01,Family Animation Comedy Adventure,2012,Unknown
The Polar Express,2004-11-10,Adventure Animation Family Fantasy,2004,Unknown
Independence Day: Resurgence,2016-06-22,Action Adventure Science Fiction,2016,Unknown
How to Train Your Dragon,2010-03-05,Fantasy Adventure Animation Family,2010,Unknown
Terminator 3: Rise of the Machines,2003-07-02,Action Thriller Science Fiction,2003,Unknown
Guardians of the Galaxy,2014-07-30,Action Science Fiction Adventure,2014,Unknown
Interstellar,2014-11-05,Adventure Drama Science Fiction,2014,Unknown
Inception,2010-07-14,Action Thriller Science Fiction Mystery Adventure,2010,Unknown
Shin Godzilla,2016-07-29,Action Adventure Drama Horror Science Fiction,2016,Unknown
The Hobbit: An Unexpected Journey,2012-11-26,Adventure Fantasy Action,2012,Unknown
The Fast and the Furious,2001-06-22,Action Crime Thriller,2001,Unknown
The Curious Case of Benjamin Button,2008-11-24,Fantasy Drama Thriller Mystery Romance,2008,Unknown
X-Men: First Class,2011-05-24,Action Science Fiction Adventure,2011,Unknown
The Hunger Games: Mockingjay - Part 2,2015-11-18,Action Adventure Science Fiction,2015,Unknown
The Sorcerer's Apprentice,2010-07-13,Fantasy Adventure Action Comedy Drama,2010,Unknown
Poseidon,2006-05-12,Adventure Action Drama Thriller,2006,Unknown
Alice Through the Looking Glass,2016-05-25,Fantasy,2016,Unknown
Shrek the Third,2007-05-17,Fantasy Adventure Animation Comedy Family,2007,Unknown
Warcraft,2016-05-25,Action Adventure Fantasy,2016,Unknown
Terminator Genisys,2015-06-23,Science Fiction Action Thriller Adventure,2015,Unknown
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,Adventure Family Fantasy,2010,Unknown
Pearl Harbor,2001-05-21,History Romance War,2001,Unknown
Transformers,2007-06-27,Adventure Science Fiction Action,2007,Unknown
Alexander,2004-11-21,War History Action Adventure Drama Romance,2004,Unknown
Harry Potter and the Order of the Phoenix,2007-06-28,Adventure Fantasy Family Mystery,2007,Unknown
Harry Potter and the Goblet of Fire,2005-11-05,Adventure Fantasy Family,2005,Unknown
Hancock,2008-07-01,Fantasy Action,2008,Unknown
I Am Legend,2007-12-14,Drama Horror Action Thriller Science Fiction,2007,Unknown
Charlie and the Chocolate Factory,2005-07-13,Adventure Comedy Family Fantasy,2005,Unknown
Ratatouille,2007-06-22,Animation Comedy Family Fantasy,2007,Unknown
Batman Begins,2005-06-10,Action Crime Drama,2005,Unknown
Madagascar: Escape 2 Africa,2008-10-30,Family Animation,2008,Unknown
Night at the Museum: Battle of the Smithsonian,2009-05-20,Adventure Fantasy Action Comedy Family,2009,Unknown
X-Men Origins: Wolverine,2009-04-28,Adventure Action Thriller Science Fiction,2009,Unknown
The Matrix Revolutions,2003-11-05,Adventure Action Thriller Science Fiction,2003,Unknown
Frozen,2013-11-27,Animation Adventure Family,2013,Unknown
The Matrix Reloaded,2003-05-15,Adventure Action Thriller Science Fiction,2003,Unknown
Thor: The Dark World,2013-10-29,Action Adventure Fantasy,2013,Unknown
Mad Max: Fury Road,2015-05-13,Action Adventure Science Fiction Thriller,2015,Unknown
Angels & Demons,2009-05-13,Thriller Mystery,2009,Unknown
Thor,2011-04-21,Adventure Fantasy Action,2011,Unknown
Bolt,2008-11-21,Animation Family Adventure Comedy,2008,Unknown
G-Force,2009-07-21,Fantasy Action Adventure Family Comedy,2009,Unknown
Wrath of the Titans,2012-03-27,Adventure,2012,Unknown
Dark Shadows,2012-05-08,Comedy Fantasy,2012,Unknown
Mission: Impossible - Rogue Nation,2015-07-23,Action Adventure Thriller,2015,Unknown
The Wolfman,2010-02-11,Drama Horror Thriller,2010,Unknown
Bee Movie,2007-10-28,Family Animation Adventure Comedy,2007,Unknown
Kung Fu Panda 2,2011-05-25,Animation Family,2011,Unknown
The Last Airbender,2010-06-30,Action Adventure Family Fantasy,2010,Unknown
Mission: Impossible III,2006-05-03,Adventure Action Thriller,2006,Unknown
White House Down,2013-06-27,Action Drama Thriller,2013,Unknown
Mars Needs Moms,2011-03-09,Adventure Animation Family,2011,Unknown
Flushed Away,2006-10-22,Adventure Animation Comedy Family,2006,Unknown
Pan,2015-09-24,Adventure Family Fantasy,2015,Unknown
Mr. Peabody & Sherman,2014-02-07,Animation Adventure Family,2014,Unknown
Troy,2004-05-13,Adventure Drama War,2004,Unknown
Madagascar 3: Europe's Most Wanted,2012-06-06,Animation Family,2012,Unknown
Die Another Day,2002-11-17,Adventure Action Thriller,2002,Unknown
Ghostbusters,2016-07-14,Action Fantasy Comedy,2016,Unknown
Armageddon,1998-07-01,Action Thriller Science Fiction Adventure,1998,Unknown
Men in Black II,2002-07-03,Action Adventure Comedy Science Fiction,2002,Unknown
Beowulf,2007-11-05,Adventure Action Animation,2007,Unknown
Kung Fu Panda 3,2016-01-23,Action Adventure Animation Comedy Family,2016,Unknown
Mission: Impossible - Ghost Protocol,2011-12-07,Action Thriller Adventure,2011,Unknown
Rise of the Guardians,2012-11-21,Fantasy Animation Family,2012,Unknown
Fun with Dick and Jane,2005-12-21,Comedy,2005,Unknown
The Last Samurai,2003-12-05,Drama Action War History,2003,Unknown
Exodus: Gods and Kings,2014-12-03,Adventure Drama Action,2014,Unknown
Star Trek,2009-05-06,Science Fiction Action Adventure,2009,Unknown
Spider-Man,2002-05-01,Fantasy Action,2002,Unknown
How to Train Your Dragon 2,2014-06-12,Fantasy Action Adventure Animation Comedy Family,2014,Unknown
Gods of Egypt,2016-02-25,Fantasy,2016,Unknown
Stealth,2005-07-28,Action,2005,Unknown
Watchmen,2009-03-05,Action Mystery Science Fiction,2009,Unknown
Lethal Weapon 4,1998-07-10,Action Adventure Comedy Crime Thriller,1998,Unknown
Hulk,2003-06-19,Drama Action Science Fiction,2003,Unknown
G.I. Joe: Retaliation,2013-03-26,Adventure Action Science Fiction Thriller,2013,Unknown
Sahara,2005-04-06,Action Adventure Comedy Drama Mystery,2005,Unknown
Final Fantasy: The Spirits Within,2001-07-02,Adventure Action Animation Fantasy Science Fiction Thriller,2001,Unknown
Captain America: The First Avenger,2011-07-22,Action Adventure Science Fiction,2011,Unknown
The World Is Not Enough,1999-11-08,Adventure Action Thriller,1999,Unknown
Master and Commander: The Far Side of the World,2003-11-14,Adventure,2003,Unknown
The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,Adventure Fantasy Drama Romance,2012,Unknown
Happy Feet Two,2011-11-17,Animation Comedy Family,2011,Unknown
The Incredible Hulk,2008-06-12,Science Fiction Action Adventure,2008,Unknown
The BFG,2016-06-01,Adventure Family Fantasy,2016,Unknown
The Revenant,2015-12-25,Western Drama Adventure Thriller,2015,Unknown
Turbo,2013-07-11,Animation Family,2013,Unknown
Rango,2011-03-02,Animation Comedy Family Western Adventure,2011,Unknown
Penguins of Madagascar,2014-11-22,Family Animation Adventure Comedy,2014,Unknown
The Bourne Ultimatum,2007-08-03,Action Drama Mystery Thriller,2007,Unknown
Kung Fu Panda,2008-06-04,Adventure Animation Family Comedy,2008,Unknown
Ant-Man,2015-07-14,Science Fiction Action Adventure,2015,Unknown
The Hunger Games: Catching Fire,2013-11-15,Adventure Action Science Fiction,2013,Unknown
Home,2015-03-18,Fantasy Comedy Animation Science Fiction Family,2015,Unknown
War of the Worlds,2005-06-28,Adventure Thriller Science Fiction,2005,Unknown
Bad Boys II,2003-07-18,Adventure Action Comedy Thriller Crime,2003,Unknown
Puss in Boots,2011-10-28,Action Adventure Animation Family Fantasy,2011,Unknown
Salt,2010-07-21,Action Mystery Thriller,2010,Unknown
Noah,2014-03-20,Drama Adventure,2014,Unknown
The Adventures of Tintin,2011-10-25,Adventure Animation Mystery,2011,Unknown
Harry Potter and the Prisoner of Azkaban,2004-05-31,Adventure Fantasy Family,2004,Unknown
Australia,2008-11-18,Drama,2008,Unknown
After Earth,2013-05-30,Science Fiction Action Adventure,2013,Unknown
Dinosaur,2000-05-19,Animation Family,2000,Unknown
Night at the Museum: Secret of the Tomb,2014-12-17,Adventure Comedy Fantasy Family,2014,Unknown
Megamind,2010-10-28,Animation Action Comedy Family Science Fiction,2010,Unknown
Harry Potter and the Philosopher's Stone,2001-11-16,Adventure Fantasy Family,2001,Unknown
R.I.P.D.,2013-07-18,Fantasy Action Comedy Crime,2013,Unknown
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,Adventure Fantasy Action,2003,Unknown
The Hunger Games: Mockingjay - Part 1,2014-11-18,Science Fiction Adventure Thriller,2014,Unknown
The Da Vinci Code,2006-05-17,Thriller Mystery,2006,Unknown
Rio 2,2014-03-19,Animation Adventure Comedy Family,2014,Unknown
X2,2003-04-24,Adventure Action Science Fiction Thriller,2003,Unknown
Fast Five,2011-04-20,Action Thriller Crime,2011,Unknown
Sherlock Holmes: A Game of Shadows,2011-11-22,Adventure Action Crime Mystery,2011,Unknown
Clash of the Titans,2010-04-01,Adventure Fantasy Action,2010,Unknown
Total Recall,1990-06-01,Action Adventure Science Fiction,1990,Unknown
The 13th Warrior,1999-08-27,Adventure Fantasy Action,1999,Unknown
The Bourne Legacy,2012-08-08,Action Thriller,2012,Unknown
Batman & Robin,1997-06-20,Action Crime Fantasy,1997,Unknown
How the Grinch Stole Christmas,2000-11-17,Family Comedy Fantasy,2000,Unknown
The Day After Tomorrow,2004-05-26,Action Adventure Science Fiction Thriller,2004,Unknown
Mission: Impossible II,2000-05-24,Adventure Action Thriller,2000,Unknown
The Perfect Storm,2000-03-15,Drama,2000,Unknown
Fantastic 4: Rise of the Silver Surfer,2007-06-13,Adventure Fantasy Action Thriller,2007,Unknown
Life of Pi,2012-11-20,Adventure Drama Action,2012,Unknown
Ghost Rider,2007-02-16,Thriller Action Fantasy Horror,2007,Unknown
Jason Bourne,2016-07-27,Action Thriller,2016,Unknown
Charlie's Angels: Full Throttle,2003-06-27,Action Adventure Comedy,2003,Unknown
Prometheus,2012-05-30,Science Fiction Adventure Mystery,2012,Unknown
Stuart Little 2,2002-07-19,Family Adventure Animation Comedy,2002,Unknown
Elysium,2013-08-07,Science Fiction Action Drama Thriller,2013,Unknown
The Chronicles of Riddick,2004-06-11,Action Science Fiction,2004,Unknown
RoboCop,2014-01-30,Action Science Fiction,2014,Unknown
Speed Racer,2008-05-09,Action Family Science Fiction,2008,Unknown
How Do You Know,2010-12-17,Comedy Drama Romance,2010,Unknown
Knight and Day,2010-06-15,Action Comedy,2010,Unknown
Oblivion,2013-04-10,Action Science Fiction Adventure Mystery,2013,Unknown
Star Wars: Episode III - Revenge of the Sith,2005-05-17,Science Fiction Adventure Action,2005,Unknown
Star Wars: Episode II - Attack of the Clones,2002-05-15,Adventure Action Science Fiction,2002,Unknown
"Monsters, Inc.",2001-11-01,Animation Comedy Family,2001,Unknown
The Wolverine,2013-07-23,Action Science Fiction Adventure Fantasy,2013,Unknown
Star Wars: Episode I - The Phantom Menace,1999-05-19,Adventure Action Science Fiction,1999,Unknown
The Croods,2013-03-20,Adventure Animation Comedy Family Fantasy,2013,Unknown
Asterix at the Olympic Games,2008-01-13,Fantasy Adventure Comedy Family,2008,Unknown
Windtalkers,2002-06-14,Drama Action History War,2002,Unknown
The Huntsman: Winter's War,2016-04-06,Action Adventure Drama,2016,Unknown
Teenage Mutant Ninja Turtles,2014-08-07,Science Fiction Action Adventure Fantasy Comedy,2014,Unknown
Gravity,2013-09-27,Science Fiction Thriller Drama,2013,Unknown
Dante's Peak,1997-02-07,Action Adventure Thriller,1997,Unknown
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01,Fantasy Action Adventure Comedy,2016,Unknown
Fantastic Four,2015-08-05,Action Adventure Science Fiction,2015,Unknown
Night at the Museum,2006-10-20,Action Adventure Comedy Family Fantasy,2006,Unknown
San Andreas,2015-05-27,Action Drama Thriller,2015,Unknown
Tomorrow Never Dies,1997-12-11,Adventure Action Thriller,1997,Unknown
The Patriot,2000-06-28,Drama History War Action,2000,Unknown
Ocean's Twelve,2004-12-09,Thriller Crime,2004,Unknown
Mr. & Mrs. Smith,2005-06-07,Action Comedy Drama Thriller,2005,Unknown
Insurgent,2015-03-18,Adventure Science Fiction Thriller,2015,Unknown
The Aviator,2004-12-17,Drama,2004,Unknown
Gulliver's Travels,2010-12-25,Comedy,2010,Unknown
The Green Hornet,2011-01-12,Action Crime Comedy,2011,Unknown
300: Rise of an Empire,2014-03-05,Action War,2014,Unknown
The Smurfs,2011-07-29,Animation Family Adventure Comedy Fantasy,2011,Unknown
Home on the Range,2004-04-02,Animation Family,2004,Unknown
Allegiant,2016-03-09,Adventure Science Fiction,2016,Unknown
Real Steel,2011-09-28,Action Science Fiction Drama,2011,Unknown
The Smurfs 2,2013-07-30,Fantasy Family Comedy Animation,2013,Unknown
Speed 2: Cruise Control,1997-06-13,Action Adventure Thriller,1997,Unknown
Ender's Game,2013-10-23,Science Fiction Action Adventure,2013,Unknown
Live Free or Die Hard,2007-06-20,Action Thriller,2007,Unknown
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,Adventure Fantasy Action,2001,Unknown
Around the World in 80 Days,2004-06-16,Action Adventure Comedy,2004,Unknown
Ali,2001-12-11,Drama,2001,Unknown
The Cat in the Hat,2003-11-21,Comedy Fantasy Family,2003,Unknown
"I, Robot",2004-07-15,Action Science Fiction,2004,Unknown
Kingdom of Heaven,2005-05-03,Drama Action Adventure History War,2005,Unknown
Stuart Little,1999-12-17,Animation Fantasy Family Comedy,1999,Unknown
The Princess and the Frog,2009-12-08,Romance Family Animation Music,2009,Unknown
The Martian,2015-09-30,Drama Adventure Science Fiction,2015,Unknown
The Island,2005-07-20,Action Thriller Science Fiction Adventure,2005,Unknown
Town & Country,2001-04-27,Comedy Romance,2001,Unknown
Gone in Sixty Seconds,2000-06-09,Action Crime Thriller,2000,Unknown
Gladiator,2000-05-01,Action Drama Adventure,2000,Unknown
Minority Report,2002-06-20,Action Thriller Science Fiction Mystery,2002,Unknown
Harry Potter and the Chamber of Secrets,2002-11-13,Adventure Fantasy Family,2002,Unknown
Casino Royale,2006-11-14,Adventure Action Thriller,2006,Unknown
Planet of the Apes,2001-07-25,Thriller Science Fiction Action Adventure,2001,Unknown
Terminator 2: Judgment Day,1991-07-01,Action Thriller Science Fiction,1991,Unknown
Public Enemies,2009-07-01,History Crime Drama,2009,Unknown
American Gangster,2007-11-02,Drama Crime,2007,Unknown
True Lies,1994-07-14,Action Thriller,1994,Unknown
The Taking of Pelham 1 2 3,2009-06-11,Thriller Drama Crime,2009,Unknown
Little Fockers,2010-12-21,Comedy Romance,2010,Unknown
The Other Guys,2010-08-06,Action Comedy Crime,2010,Unknown
Eraser,1996-06-21,Action Drama Mystery Thriller,1996,Unknown
Django Unchained,2012-12-25,Drama Western,2012,Unknown
The Hunchback of Notre Dame,1996-06-21,Drama Animation Family,1996,Unknown
The Emperor's New Groove,2000-12-09,Adventure Animation Comedy Family Fantasy,2000,Unknown
The Expendables 2,2012-08-08,Action Adventure Thriller,2012,Unknown
National Treasure,2004-11-19,Adventure Action Thriller Mystery,2004,Unknown
Eragon,2006-12-14,Fantasy Action Adventure Family,2006,Unknown
Where the Wild Things Are,2009-10-16,Family Fantasy,2009,Unknown
Epic,2013-05-15,Animation Adventure Family Fantasy,2013,Unknown
The Tourist,2010-12-08,Action Thriller Romance,2010,Unknown
End of Days,1999-11-24,Action Fantasy Horror Mystery,1999,Unknown
Blood Diamond,2006-12-07,Drama Thriller Action,2006,Unknown
The Wolf of Wall Street,2013-12-25,Crime Drama Comedy,2013,Unknown
Batman Forever,1995-05-31,Action Crime Fantasy,1995,Unknown
Starship Troopers,1997-11-06,Adventure Action Thriller Science Fiction,1997,Unknown
Cloud Atlas,2012-10-26,Drama Science Fiction,2012,Unknown
Legend of the Guardians: The Owls of Ga'Hoole,2010-07-10,Animation Adventure Family Fantasy,2010,Unknown
Catwoman,2004-07-22,Action Crime,2004,Unknown
Hercules,2014-07-23,Action Adventure,2014,Unknown
Treasure Planet,2002-11-26,Adventure Animation Family Fantasy Science Fiction,2002,Unknown
Land of the Lost,2009-06-05,Adventure Comedy Science Fiction,2009,Unknown
The Expendables 3,2014-08-04,Action Adventure Thriller,2014,Unknown
Point Break,2015-12-03,Action Crime Thriller,2015,Unknown
Son of the Mask,2005-02-18,Fantasy Comedy Family Adventure,2005,Unknown
In the Heart of the Sea,2015-11-20,Thriller Drama Adventure Action History,2015,Unknown
The Adventures of Pluto Nash,2002-08-15,Action Comedy Science Fiction,2002,Unknown
Green Zone,2010-03-11,War Action Adventure Drama Thriller,2010,Unknown
The Peanuts Movie,2015-11-05,Animation,2015,Unknown
The Spanish Prisoner,1997-09-08,Crime Drama Mystery Thriller,1997,Unknown
The Mummy Returns,2001-04-28,Adventure Action Fantasy,2001,Unknown
Gangs of New York,2002-12-14,Drama History Crime,2002,Unknown
The Flowers of War,2011-12-15,Drama History War,2011,Unknown
Surf's Up,2007-06-08,Animation Comedy Family,2007,Unknown
The Stepford Wives,2004-06-10,Action Comedy Science Fiction,2004,Unknown
Black Hawk Down,2001-12-28,Action History War,2001,Unknown
The Campaign,2012-08-09,Comedy,2012,Unknown
The Fifth Element,1997-05-07,Adventure Fantasy Action Thriller Science Fiction,1997,Unknown
Sex and the City 2,2010-05-26,Comedy Drama Romance,2010,Unknown
The Road to El Dorado,2000-03-31,Adventure Animation Comedy Family,2000,Unknown
Ice Age: Continental Drift,2012-06-26,Animation Comedy Adventure Family,2012,Unknown
Cinderella,2015-03-12,Romance Fantasy Family Drama,2015,Unknown
The Lovely Bones,2009-12-26,Fantasy Drama,2009,Unknown
Finding Nemo,2003-05-30,Animation Family,2003,Unknown
The Lord of the Rings: The Return of the King,2003-12-01,Adventure Fantasy Action,2003,Unknown
The Lord of the Rings: The Two Towers,2002-12-18,Adventure Fantasy Action,2002,Unknown
Seventh Son,2014-12-12,Adventure Fantasy,2014,Unknown
Lara Croft: Tomb Raider,2001-06-11,Adventure Fantasy Action Thriller,2001,Unknown
Transcendence,2014-04-16,Thriller Science Fiction Drama Mystery,2014,Unknown
Jurassic Park III,2001-07-18,Adventure Action Thriller Science Fiction,2001,Unknown
Rise of the Planet of the Apes,2011-08-03,Thriller Action Drama Science Fiction,2011,Unknown
The Spiderwick Chronicles,2008-02-14,Adventure Family Fantasy,2008,Unknown
A Good Day to Die Hard,2013-02-06,Action Thriller,2013,Unknown
The Alamo,2004-04-07,Western History War,2004,Unknown
The Incredibles,2004-11-05,Action Adventure Animation Family,2004,Unknown
Cutthroat Island,1995-12-22,Action Adventure,1995,Unknown
Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,Adventure Fantasy Family,2010,Unknown
Men in Black,1997-07-02,Action Adventure Comedy Science Fiction,1997,Unknown
Toy Story 2,1999-10-30,Animation Comedy Family,1999,Unknown
Unstoppable,2010-11-04,Action Thriller,2010,Unknown
Rush Hour 2,2001-08-03,Action Comedy Crime Thriller,2001,Unknown
What Lies Beneath,2000-07-21,Drama Horror Mystery Thriller,2000,Unknown
Cloudy with a Chance of Meatballs,2009-09-17,Animation Comedy Family,2009,Unknown
Ice Age: Dawn of the Dinosaurs,2009-06-29,Animation Comedy Family Adventure,2009,Unknown
The Secret Life of Walter Mitty,2013-12-18,Adventure Comedy Drama Fantasy,2013,Unknown
Charlie's Angels,2000-11-02,Action Adventure Comedy Crime Thriller,2000,Unknown
The Departed,2006-10-05,Drama Thriller Crime,2006,Unknown
Mulan,1998-06-18,Animation Family Adventure,1998,Unknown
Tropic Thunder,2008-08-09,Action Comedy,2008,Unknown
The Girl with the Dragon Tattoo,2011-12-14,Thriller Crime Mystery Drama,2011,Unknown
Die Hard: With a Vengeance,1995-05-19,Action Thriller,1995,Unknown
Sherlock Holmes,2009-12-23,Action Adventure Crime Mystery,2009,Unknown
Ben-Hur,2016-08-17,Drama,2016,Unknown
Atlantis: The Lost Empire,2001-06-02,Animation Family Adventure Science Fiction,2001,Unknown
Alvin and the Chipmunks: The Road Chip,2015-12-17,Adventure Animation Comedy Family,2015,Unknown
Valkyrie,2008-12-25,Drama Thriller History War,2008,Unknown
You Don't Mess with the Zohan,2008-06-05,Comedy Action,2008,Unknown
Pixels,2015-07-16,Action Comedy Science Fiction,2015,Unknown
A.I. Artificial Intelligence,2001-06-29,Drama Science Fiction Adventure,2001,Unknown
The Haunted Mansion,2003-11-25,Thriller Fantasy Comedy Family Mystery,2003,Unknown
Contact,1997-07-11,Drama Science Fiction Mystery,1997,Unknown
Hollow Man,2000-08-04,Action Science Fiction Thriller,2000,Unknown
The Interpreter,2005-04-08,Crime Thriller,2005,Unknown
Percy Jackson: Sea of Monsters,2013-08-07,Adventure Family Fantasy,2013,Unknown
Lara Croft Tomb Raider: The Cradle of Life,2003-07-21,Action Adventure Fantasy Thriller,2003,Unknown
Now You See Me 2,2016-06-02,Action Adventure Comedy Crime Mystery Thriller,2016,Unknown
The Saint,1997-04-03,Thriller Action Romance Science Fiction Adventure,1997,Unknown
Spy Game,2001-11-18,Action Crime Thriller,2001,Unknown
