title,year,genres,keywords,cast,director,overview
Doctor Strange 3,2016,Fantasy Action,magic dimension,Benedict Cumberbatch,Scott Derrickson,magic dimension
Spider-Man No Way Home 3,2021,Action Sci-Fi,multiverse hero,Tom Holland,Jon Watts,multiverse hero
Guardians of the Galaxy 3,2014,Sci-Fi Comedy,space team,Chris Pratt,James Gunn,space team
Alien 3,1979,Sci-Fi Horror,space creature,Sigourney Weaver,Ridley Scott,space creature
Blade Runner 2049 3,2017,Sci-Fi Thriller,replicant future,Ryan Gosling,Denis Villeneuve,replicant future
Arrival 3,2016,Sci-Fi Drama,alien communication,Amy Adams,Denis Villeneuve,alien communication
Inception 4,2010,Sci-Fi Thriller Action,dream subconscious heist,Leonardo DiCaprio,Christopher Nolan,dream subconscious heist
Interstellar 4,2014,Sci-Fi Drama,space time blackhole,Matthew McConaughey,Christopher Nolan,space time blackhole
The Dark Knight 4,2008,Action Crime,joker gotham chaos,Christian Bale,Christopher Nolan,joker gotham chaos
Batman Begins 4,2005,Action Crime,origin vigilante,Christian Bale,Christopher Nolan,origin vigilante
The Prestige 4,2006,Drama Mystery,magician rivalry,Christian Bale,Christopher Nolan,magician rivalry
Memento 4,2000,Mystery Thriller,memory revenge,Guy Pearce,Christopher Nolan,memory revenge
Tenet 4,2020,Sci-Fi Action,time inversion,John David Washington,Christopher Nolan,time inversion
Avatar 4,2009,Sci-Fi Adventure,alien planet,Sam Worthington,James Cameron,alien planet
Titanic 4,1997,Romance Drama,ship love tragedy,Leonardo DiCaprio,James Cameron,ship love tragedy
The Matrix 4,1999,Sci-Fi Action,simulation hacker,Keanu Reeves,Wachowski,simulation hacker
John Wick 4,2014,Action Thriller,assassin revenge,Keanu Reeves,Chad Stahelski,assassin revenge
Mad Max Fury Road 4,2015,Action Adventure,post apocalypse,Tom Hardy,George Miller,post apocalypse
The Godfather 4,1972,Crime Drama,mafia family,Al Pacino,Francis Ford Coppola,mafia family
Pulp Fiction 4,1994,Crime Drama,nonlinear crime,John Travolta,Quentin Tarantino,nonlinear crime
Django Unchained 4,2012,Western Drama,revenge slavery,Jamie Foxx,Quentin Tarantino,revenge slavery
The Shawshank Redemption 4,1994,Drama,prison hope,Tim Robbins,Frank Darabont,prison hope
Forrest Gump 4,1994,Drama Romance,life journey,Tom Hanks,Robert Zemeckis,life journey
Avengers Endgame 4,2019,Action Sci-Fi,superhero time travel,Robert Downey Jr,Russo Brothers,superhero time travel
Iron Man 4,2008,Action Sci-Fi,armor tech hero,Robert Downey Jr,Jon Favreau,armor tech hero
Doctor Strange 4,2016,Fantasy Action,magic dimension,Benedict Cumberbatch,Scott Derrickson,magic dimension
Spider-Man No Way Home 4,2021,Action Sci-Fi,multiverse hero,Tom Holland,Jon Watts,multiverse hero
Guardians of the Galaxy 4,2014,Sci-Fi Comedy,space team,Chris Pratt,James Gunn,space team
Alien 4,1979,Sci-Fi Horror,space creature,Sigourney Weaver,Ridley Scott,space creature
Blade Runner 2049 4,2017,Sci-Fi Thriller,replicant future,Ryan Gosling,Denis Villeneuve,replicant future
Arrival 4,2016,Sci-Fi Drama,alien communication,Amy Adams,Denis Villeneuve,alien communication
Inception 5,2010,Sci-Fi Thriller Action,dream subconscious heist,Leonardo DiCaprio,Christopher Nolan,dream subconscious heist
Interstellar 5,2014,Sci-Fi Drama,space time blackhole,Matthew McConaughey,Christopher Nolan,space time blackhole
The Dark Knight 5,2008,Action Crime,joker gotham chaos,Christian Bale,Christopher Nolan,joker gotham chaos
Batman Begins 5,2005,Action Crime,origin vigilante,Christian Bale,Christopher Nolan,origin vigilante
The Prestige 5,2006,Drama Mystery,magician rivalry,Christian Bale,Christopher Nolan,magician rivalry
Memento 5,2000,Mystery Thriller,memory revenge,Guy Pearce,Christopher Nolan,memory revenge
Tenet 5,2020,Sci-Fi Action,time inversion,John David Washington,Christopher Nolan,time inversion
Avatar 5,2009,Sci-Fi Adventure,alien planet,Sam Worthington,James Cameron,alien planet
Titanic 5,1997,Romance Drama,ship love tragedy,Leonardo DiCaprio,James Cameron,ship love tragedy
The Matrix 5,1999,Sci-Fi Action,simulation hacker,Keanu Reeves,Wachowski,simulation hacker
John Wick 5,2014,Action Thriller,assassin revenge,Keanu Reeves,Chad Stahelski,assassin revenge
Mad Max Fury Road 5,2015,Action Adventure,post apocalypse,Tom Hardy,George Miller,post apocalypse
The Godfather 5,1972,Crime Drama,mafia family,Al Pacino,Francis Ford Coppola,mafia family
Pulp Fiction 5,1994,Crime Drama,nonlinear crime,John Travolta,Quentin Tarantino,nonlinear crime
Django Unchained 5,2012,Western Drama,revenge slavery,Jamie Foxx,Quentin Tarantino,revenge slavery
The Shawshank Redemption 5,1994,Drama,prison hope,Tim Robbins,Frank Darabont,prison hope
Forrest Gump 5,1994,Drama Romance,life journey,Tom Hanks,Robert Zemeckis,life journey
Avengers Endgame 5,2019,Action Sci-Fi,superhero time travel,Robert Downey Jr,Russo Brothers,superhero time travel
Iron Man 5,2008,Action Sci-Fi,armor tech hero,Robert Downey Jr,Jon Favreau,armor tech hero
Doctor Strange 5,2016,Fantasy Action,magic dimension,Benedict Cumberbatch,Scott Derrickson,magic dimension
Spider-Man No Way Home 5,2021,Action Sci-Fi,multiverse hero,Tom Holland,Jon Watts,multiverse hero
Guardians of the Galaxy 5,2014,Sci-Fi Comedy,space team,Chris Pratt,James Gunn,space team
Alien 5,1979,Sci-Fi Horror,space creature,Sigourney Weaver,Ridley Scott,space creature
Blade Runner 2049 5,2017,Sci-Fi Thriller,replicant future,Ryan Gosling,Denis Villeneuve,replicant future
Arrival 5,2016,Sci-Fi Drama,alien communication,Amy Adams,Denis Villeneuve,alien communication
