title,year,genres,keywords,cast,director,overview
Psycho,1960,Horror Mystery Thriller,motel serial-killer suspense,Anthony Perkins Janet Leigh Vera Miles,Alfred Hitchcock,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
Modern Times,1936,Comedy Drama Family,factory-worker industrialization silent-film,Charles Chaplin Paulette Goddard Henry Bergman,Charles Chaplin,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
City Lights,1931,Comedy Drama Romance,silent-film tramp blind-girl,Charles Chaplin Virginia Cherrill Florence Lee,Charles Chaplin,"With the aid of a wealthy erratic tippler, a debonair innocent encounters a beautiful blind flower girl and accumulates money to be able to help her medical condition."
The Great Dictator,1940,Comedy Drama War,satire dictator world-war-ii,Charles Chaplin Paulette Goddard Jack Oakie,Charles Chaplin,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
Memento,2000,Mystery Thriller,amnesia non-linear revenge,Guy Pearce Carrie-Anne Moss Joe Pantoliano,Christopher Nolan,A man with short-term memory loss attempts to track down his wife's murderer.
Alien,1979,Horror Sci-Fi,space-monster survival sci-fi-horror,Sigourney Weaver Tom Skerritt John Hurt,Ridley Scott,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and its life cycle has just begun."
Apocalypse Now,1979,Drama Mystery War,vietnam-war madness river-journey,Martin Sheen Marlon Brando Robert Duvall,Francis Ford Coppola,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Raiders of the Lost Ark,1981,Action Adventure,archaeology adventure nazis,Harrison Ford Karen Allen Paul Freeman,Steven Spielberg,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
The Shining,1980,Drama Horror,hotel isolation madness,Jack Nicholson Shelley Duvall Danny Lloyd,Stanley Kubrick,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both the past and the future."
Paths of Glory,1957,Drama War,world-war-i injustice court-martial,Kirk Douglas Ralph Meeker Adolphe Menjou,Stanley Kubrick,"After refusing to attack an enemy bastion, a French regiment is accused of cowardice, and their commanding officer must defend them in a court-martial."
Sunset Blvd.,1950,Drama Film-Noir,hollywood silent-star obsession,William Holden Gloria Swanson Erich von Stroheim,Billy Wilder,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Dr. Strangelove,1964,Comedy War,cold-war nuclear-war satire,Peter Sellers George C. Scott Sterling Hayden,Stanley Kubrick,An insane general triggers a path to nuclear apocalypse that a War Room full of politicians and generals frantically tries to stop.
Witness for the Prosecution,1957,Crime Drama Mystery,courtroom lawyer murder,Tyrone Power Marlene Dietrich Charles Laughton,Billy Wilder,A veteran British barrister must defend a client in a murder trial that has surprise after surprise.
Spider-Man: Across the Spider-Verse,2023,Animation Action Adventure,multiverse superhero spider-man,Shameik Moore Hailee Steinfeld Oscar Isaac,Joaquim Dos Santos,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence."
The Dark Knight Rises,2012,Action Drama,vigilante bane gotham-rescue,Christian Bale Tom Hardy Anne Hathaway,Christopher Nolan,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
Joker,2019,Crime Drama Thriller,origin-story madness chaos,Joaquin Phoenix Robert De Niro Zazie Beetz,Todd Phillips,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime."
Oldboy,2003,Action Drama Mystery,revenge imprisonment twist,Choi Min-sik Yoo Ji-tae Kang Hye-jung,Park Chan-wook,"After being kidnapped and imprisoned for fifteen years, Oh Dae-su is released, only to find that he must find his captor in five days."
Your Name,2016,Animation Drama Fantasy,body-swap fate connection,Ryunosuke Kamiki Mone Kamishiraishi Ryo Narita,Makoto Shinkai,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies."
Coco,2017,Animation Adventure Family,day-of-the-dead music family,Anthony Gonzalez Gael García Bernal Benjamin Bratt,Lee Unkrich,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Toy Story,1995,Animation Adventure Comedy,toys friendship childhood,Tom Hanks Tim Allen Don Rickles,John Lasseter,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
Braveheart,1995,Biography Drama War,scotland freedom rebellion,Mel Gibson Sophie Marceau Patrick McGoohan,Mel Gibson,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Amadeus,1984,Biography Drama Music,mozart rivalry composer,F. Murray Abraham Tom Hulce Elizabeth Berridge,Milos Forman,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporary composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
Inglourious Basterds,2009,Adventure Drama War,world-war-ii nazis revenge,Brad Pitt Diane Kruger Eli Roth,Quentin Tarantino,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
The Wolf of Wall Street,2013,Biography Comedy Crime,stock-market excess greed,Leonardo DiCaprio Jonah Hill Margot Robbie,Martin Scorsese,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Star Wars,1977,Action Adventure Sci-Fi,space-opera empire jedi,Mark Hamill Harrison Ford Carrie Fisher,George Lucas,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station."
Good Will Hunting,1997,Drama,genius math friendship,Matt Damon Robin Williams Ben Affleck,Gus Van Sant,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Jurassic Park,1993,Action Adventure Sci-Fi,dinosaurs theme-park island,Sam Neill Laura Dern Jeff Goldblum,Steven Spielberg,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
Finding Nemo,2003,Animation Adventure Comedy,fish ocean quest,Albert Brooks Ellen DeGeneres Alexander Gould,Andrew Stanton,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
The Sixth Sense,1999,Drama Mystery Thriller,ghost twist child,Bruce Willis Haley Joel Osment Toni Collette,M. Night Shyamalan,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
Up,2009,Animation Adventure Comedy,balloons old-man adventure,Edward Asner Jordan Nagai John Ratzenberger,Pete Docter,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Inside Out,2015,Animation Adventure Comedy,emotions growing-up mind,Amy Poehler Bill Hader Lewis Black,Pete Docter,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Mad Max: Fury Road,2015,Action Adventure Sci-Fi,post-apocalyptic desert car-chase,Tom Hardy Charlize Theron Nicholas Hoult,George Miller,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
The Grand Budapest Hotel,2014,Adventure Comedy Crime,hotel-concierge heist friendship,Ralph Fiennes F. Murray Abraham Mathieu Amalric,Wes Anderson,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
Oppenheimer,2023,Biography Drama History,atomic-bomb physics world-war-ii,Cillian Murphy Emily Blunt Matt Damon,Christopher Nolan,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb."
Barbie,2023,Adventure Comedy Fantasy,existential-crisis dolls identity,Margot Robbie Ryan Gosling America Ferrera,Greta Gerwig,Barbie suffers a crisis that leads her to question her world and her existence.
Ratatouille 65,1983,Animation Family Adventure,survival mystery journey,Brad Pitt Robert De Niro Leonardo DiCaprio,Martin Scorsese,A hero rises to save the world from an ancient threat.
Mean Streets 66,1976,Comedy Drama,betrayal mystery legacy,Robert De Niro Leonardo DiCaprio Al Pacino,Ridley Scott,A group of friends embark on a road trip that leads to self-discovery.
Total Recall 67,1981,Drama Romance,rebellion journey mystery,Scarlett Johansson Morgan Freeman Al Pacino,Martin Scorsese,A hero rises to save the world from an ancient threat.
Thor: The Dark World 68,1978,Animation Family Adventure,legacy rebellion love,Brad Pitt Meryl Streep Al Pacino,James Cameron,A hero rises to save the world from an ancient threat.
Millennium Actress 69,2015,Horror Thriller,survival love journey,Scarlett Johansson Meryl Streep Robert De Niro,Quentin Tarantino,A group of friends embark on a road trip that leads to self-discovery.
A Prophet 70,1980,Comedy Drama,journey survival rebellion,Tom Hanks Scarlett Johansson Morgan Freeman,Ridley Scott,Two lovers struggle to find happiness in a divided society.
No Country for Old Men 71,1986,Thriller Crime Mystery,journey legacy war,Scarlett Johansson Meryl Streep Morgan Freeman,James Cameron,A hero rises to save the world from an ancient threat.
The Rain People 72,2021,Horror Thriller,heist journey betrayal,Brad Pitt Meryl Streep Morgan Freeman,Steven Spielberg,A hero rises to save the world from an ancient threat.
The Others 73,2003,Comedy Drama,war legacy destiny,Scarlett Johansson Al Pacino Meryl Streep,Greta Gerwig,A young person discovers a hidden talent that changes everything.
Nosferatu 74,1987,Horror Thriller,rebellion heist war,Meryl Streep Brad Pitt Scarlett Johansson,Martin Scorsese,Two lovers struggle to find happiness in a divided society.
Night at the Museum 75,1988,Action Adventure Sci-Fi,legacy journey mystery,Brad Pitt Leonardo DiCaprio Robert De Niro,Martin Scorsese,A young person discovers a hidden talent that changes everything.
Fanny and Alexander 76,2004,Drama Romance,mystery heist betrayal,Meryl Streep Scarlett Johansson Leonardo DiCaprio,Steven Spielberg,A young person discovers a hidden talent that changes everything.
Interstellar 77,2013,Action Adventure Sci-Fi,love journey destiny,Robert De Niro Scarlett Johansson Leonardo DiCaprio,Steven Spielberg,A group of friends embark on a road trip that leads to self-discovery.
Seven Samurai 78,2022,Comedy Drama,love survival war,Leonardo DiCaprio Robert De Niro Brad Pitt,Martin Scorsese,A young person discovers a hidden talent that changes everything.
Heat 79,2012,Horror Thriller,betrayal survival love,Meryl Streep Brad Pitt Robert De Niro,Greta Gerwig,A hero rises to save the world from an ancient threat.
Un Chien Andalou 80,1976,Comedy Drama,destiny mystery legacy,Meryl Streep Al Pacino Morgan Freeman,Steven Spielberg,A group of friends embark on a road trip that leads to self-discovery.
The Rain People 81,2009,Comedy Drama,rebellion destiny survival,Robert De Niro Meryl Streep Al Pacino,Ridley Scott,A team of experts is assembled for one final high-stakes mission.
Annihilation 82,1986,Thriller Crime Mystery,journey war mystery,Tom Hanks Morgan Freeman Leonardo DiCaprio,Martin Scorsese,A hero rises to save the world from an ancient threat.
Tokyo Godfathers 83,2004,Thriller Crime Mystery,rebellion mystery destiny,Leonardo DiCaprio Scarlett Johansson Tom Hanks,Greta Gerwig,A young person discovers a hidden talent that changes everything.
The Martian 84,1981,Comedy Drama,love survival heist,Al Pacino Robert De Niro Leonardo DiCaprio,Steven Spielberg,A group of friends embark on a road trip that leads to self-discovery.
Cape Fear 85,2013,Action Adventure Sci-Fi,mystery survival heist,Meryl Streep Tom Hanks Robert De Niro,Quentin Tarantino,A hero rises to save the world from an ancient threat.
Pretty Woman 86,1994,Comedy Drama,betrayal heist destiny,Al Pacino Tom Hanks Leonardo DiCaprio,James Cameron,Two lovers struggle to find happiness in a divided society.
The Sixth Sense 87,2020,Horror Thriller,betrayal mystery destiny,Brad Pitt Morgan Freeman Tom Hanks,Ridley Scott,A team of experts is assembled for one final high-stakes mission.
Shrek 2 88,1973,Thriller Crime Mystery,love journey rebellion,Leonardo DiCaprio Tom Hanks Robert De Niro,Greta Gerwig,A group of friends embark on a road trip that leads to self-discovery.
L'Avventura 89,1982,Drama Romance,war rebellion destiny,Robert De Niro Al Pacino Meryl Streep,Ridley Scott,A hero rises to save the world from an ancient threat.
The Revenant 90,2002,Drama Romance,legacy rebellion war,Meryl Streep Scarlett Johansson Al Pacino,Greta Gerwig,A hero rises to save the world from an ancient threat.
Despicable Me 91,2014,Comedy Drama,love rebellion heist,Scarlett Johansson Al Pacino Tom Hanks,James Cameron,A team of experts is assembled for one final high-stakes mission.
The Hunger Games: Mockingjay - Part 1 92,2012,Animation Family Adventure,war heist destiny,Morgan Freeman Leonardo DiCaprio Robert De Niro,James Cameron,A team of experts is assembled for one final high-stakes mission.
Zootopia 93,1983,Thriller Crime Mystery,legacy betrayal destiny,Meryl Streep Robert De Niro Tom Hanks,James Cameron,A team of experts is assembled for one final high-stakes mission.
The Last Temptation of Christ 94,1999,Comedy Drama,survival rebellion heist,Brad Pitt Leonardo DiCaprio Meryl Streep,Quentin Tarantino,Two lovers struggle to find happiness in a divided society.
Cars 95,1992,Horror Thriller,betrayal rebellion mystery,Scarlett Johansson Brad Pitt Morgan Freeman,Ridley Scott,A young person discovers a hidden talent that changes everything.
Jumanji: Welcome to the Jungle 96,1992,Action Adventure Sci-Fi,destiny journey rebellion,Al Pacino Tom Hanks Brad Pitt,Ridley Scott,Two lovers struggle to find happiness in a divided society.
Shadows of Forgotten Ancestors 97,1973,Drama Romance,legacy journey rebellion,Meryl Streep Tom Hanks Scarlett Johansson,Martin Scorsese,Two lovers struggle to find happiness in a divided society.
Breaking the Waves 98,1980,Thriller Crime Mystery,legacy love journey,Leonardo DiCaprio Al Pacino Brad Pitt,James Cameron,A group of friends embark on a road trip that leads to self-discovery.
Frozen 99,1975,Drama Romance,journey heist destiny,Leonardo DiCaprio Al Pacino Scarlett Johansson,Steven Spielberg,A young person discovers a hidden talent that changes everything.
The Idiots 100,1988,Comedy Drama,rebellion survival heist,Leonardo DiCaprio Brad Pitt Scarlett Johansson,Steven Spielberg,A hero rises to save the world from an ancient threat.
Thor: The Dark World 101,2023,Thriller Crime Mystery,love journey mystery,Brad Pitt Scarlett Johansson Meryl Streep,Quentin Tarantino,A hero rises to save the world from an ancient threat.
X-Men: The Last Stand 102,1991,Drama Romance,betrayal mystery journey,Robert De Niro Scarlett Johansson Tom Hanks,James Cameron,A team of experts is assembled for one final high-stakes mission.
Apocalypse Now 103,1972,Thriller Crime Mystery,survival betrayal journey,Tom Hanks Brad Pitt Leonardo DiCaprio,Christopher Nolan,A group of friends embark on a road trip that leads to self-discovery.
The Wrestler 104,1987,Animation Family Adventure,journey mystery war,Al Pacino Robert De Niro Morgan Freeman,Ridley Scott,A group of friends embark on a road trip that leads to self-discovery.
Men in Black II 105,2004,Action Adventure Sci-Fi,destiny mystery journey,Leonardo DiCaprio Robert De Niro Meryl Streep,Greta Gerwig,A hero rises to save the world from an ancient threat.
The Matrix Revolutions 106,1971,Animation Family Adventure,rebellion betrayal love,Robert De Niro Brad Pitt Al Pacino,Quentin Tarantino,A hero rises to save the world from an ancient threat.
Amelie 107,2012,Horror Thriller,betrayal legacy survival,Robert De Niro Brad Pitt Morgan Freeman,James Cameron,A group of friends embark on a road trip that leads to self-discovery.
Her 108,1971,Comedy Drama,war love mystery,Leonardo DiCaprio Morgan Freeman Al Pacino,Ridley Scott,A hero rises to save the world from an ancient threat.
Harry Potter and the Goblet of Fire 109,1982,Drama Romance,journey destiny love,Brad Pitt Tom Hanks Leonardo DiCaprio,Quentin Tarantino,A hero rises to save the world from an ancient threat.
The Faculty 110,1982,Drama Romance,destiny betrayal mystery,Leonardo DiCaprio Scarlett Johansson Tom Hanks,Quentin Tarantino,Two lovers struggle to find happiness in a divided society.
The Big Lebowski 111,1993,Thriller Crime Mystery,betrayal love destiny,Leonardo DiCaprio Meryl Streep Scarlett Johansson,Quentin Tarantino,A young person discovers a hidden talent that changes everything.
Inside Out 112,1993,Action Adventure Sci-Fi,rebellion betrayal mystery,Morgan Freeman Leonardo DiCaprio Brad Pitt,Martin Scorsese,A group of friends embark on a road trip that leads to self-discovery.
8 1/2 113,1971,Animation Family Adventure,destiny rebellion journey,Tom Hanks Meryl Streep Morgan Freeman,Ridley Scott,A hero rises to save the world from an ancient threat.
Memento 114,2008,Comedy Drama,heist legacy betrayal,Meryl Streep Brad Pitt Morgan Freeman,Ridley Scott,A group of friends embark on a road trip that leads to self-discovery.
The Martian 115,1988,Animation Family Adventure,betrayal journey mystery,Robert De Niro Meryl Streep Brad Pitt,Quentin Tarantino,A team of experts is assembled for one final high-stakes mission.
The Age of Innocence 116,2010,Comedy Drama,betrayal legacy journey,Al Pacino Scarlett Johansson Tom Hanks,Christopher Nolan,A hero rises to save the world from an ancient threat.
There Will Be Blood 117,2000,Action Adventure Sci-Fi,rebellion legacy mystery,Leonardo DiCaprio Meryl Streep Morgan Freeman,Quentin Tarantino,A group of friends embark on a road trip that leads to self-discovery.
Cape Fear 118,2019,Thriller Crime Mystery,destiny journey legacy,Al Pacino Meryl Streep Robert De Niro,James Cameron,A team of experts is assembled for one final high-stakes mission.
Star Wars: The Last Jedi 119,1988,Drama Romance,love survival journey,Tom Hanks Al Pacino Meryl Streep,Steven Spielberg,A young person discovers a hidden talent that changes everything.
Jaws 120,1977,Animation Family Adventure,journey betrayal war,Robert De Niro Morgan Freeman Tom Hanks,Ridley Scott,Two lovers struggle to find happiness in a divided society.
Cinema Paradiso 121,2008,Action Adventure Sci-Fi,survival legacy rebellion,Leonardo DiCaprio Scarlett Johansson Brad Pitt,Martin Scorsese,Two lovers struggle to find happiness in a divided society.
Parasite 122,1994,Comedy Drama,survival war betrayal,Morgan Freeman Robert De Niro Scarlett Johansson,Christopher Nolan,A young person discovers a hidden talent that changes everything.
Heat 123,1972,Thriller Crime Mystery,destiny legacy journey,Morgan Freeman Brad Pitt Meryl Streep,Martin Scorsese,A team of experts is assembled for one final high-stakes mission.
Funny Games 124,2018,Action Adventure Sci-Fi,heist legacy rebellion,Al Pacino Robert De Niro Leonardo DiCaprio,Steven Spielberg,A hero rises to save the world from an ancient threat.
Alps 125,2004,Comedy Drama,legacy betrayal journey,Robert De Niro Leonardo DiCaprio Brad Pitt,Quentin Tarantino,A young person discovers a hidden talent that changes everything.
Furious 7 126,1974,Horror Thriller,destiny mystery betrayal,Brad Pitt Al Pacino Tom Hanks,Christopher Nolan,A team of experts is assembled for one final high-stakes mission.
The Thing 127,1974,Drama Romance,war legacy betrayal,Scarlett Johansson Robert De Niro Al Pacino,Martin Scorsese,A team of experts is assembled for one final high-stakes mission.
Gangs of New York 128,2013,Comedy Drama,betrayal legacy war,Leonardo DiCaprio Scarlett Johansson Robert De Niro,Martin Scorsese,A group of friends embark on a road trip that leads to self-discovery.
Desperado 129,1979,Animation Family Adventure,survival war journey,Brad Pitt Morgan Freeman Tom Hanks,Steven Spielberg,A young person discovers a hidden talent that changes everything.
The Sacrifice 130,1971,Drama Romance,survival betrayal heist,Morgan Freeman Leonardo DiCaprio Tom Hanks,Quentin Tarantino,A team of experts is assembled for one final high-stakes mission.
Your Name 131,1986,Thriller Crime Mystery,legacy love destiny,Al Pacino Brad Pitt Morgan Freeman,Steven Spielberg,Two lovers struggle to find happiness in a divided society.
RoboCop 132,1982,Thriller Crime Mystery,journey destiny survival,Meryl Streep Tom Hanks Al Pacino,James Cameron,A young person discovers a hidden talent that changes everything.
Finding Dory 133,1974,Comedy Drama,heist rebellion betrayal,Meryl Streep Robert De Niro Al Pacino,Steven Spielberg,A hero rises to save the world from an ancient threat.
The Martian 134,2024,Comedy Drama,destiny rebellion betrayal,Brad Pitt Tom Hanks Robert De Niro,Steven Spielberg,A hero rises to save the world from an ancient threat.
West Side Story 135,2015,Drama Romance,destiny war love,Brad Pitt Tom Hanks Morgan Freeman,Quentin Tarantino,Two lovers struggle to find happiness in a divided society.
Inglourious Basterds 136,2016,Thriller Crime Mystery,love rebellion legacy,Meryl Streep Tom Hanks Leonardo DiCaprio,Greta Gerwig,A hero rises to save the world from an ancient threat.
The Chorus 137,1971,Horror Thriller,survival heist legacy,Robert De Niro Tom Hanks Morgan Freeman,Christopher Nolan,A group of friends embark on a road trip that leads to self-discovery.
Sexy Beast 138,1991,Horror Thriller,survival journey heist,Tom Hanks Leonardo DiCaprio Al Pacino,Martin Scorsese,A group of friends embark on a road trip that leads to self-discovery.
Desperado 139,2022,Action Adventure Sci-Fi,betrayal war destiny,Morgan Freeman Meryl Streep Robert De Niro,Steven Spielberg,A young person discovers a hidden talent that changes everything.
Nosferatu 140,1979,Animation Family Adventure,love war survival,Brad Pitt Meryl Streep Scarlett Johansson,Greta Gerwig,Two lovers struggle to find happiness in a divided society.
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe 141",1971,Drama Romance,betrayal rebellion destiny,Robert De Niro Meryl Streep Brad Pitt,Ridley Scott,A team of experts is assembled for one final high-stakes mission.
