title,year,genres,keywords,cast,director,overview
Amélie,1991,Comedy Drama Romance,comedy legacy destiny redemption,Actor_21_A Actor_21_B Actor_21_C,Director_21,A compelling story titled 'Amélie' that explores themes of comedy and human nature.
Anatomy of a Murder,1992,Crime Mystery Thriller,crime legacy destiny redemption,Actor_22_A Actor_22_B Actor_22_C,Director_22,A compelling story titled 'Anatomy of a Murder' that explores themes of crime and human nature.
Andrei Rublev,1993,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_23_A Actor_23_B Actor_23_C,Director_23,A compelling story titled 'Andrei Rublev' that explores themes of adventure and human nature.
Ant-Man,1994,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_24_A Actor_24_B Actor_24_C,Director_24,A compelling story titled 'Ant-Man' that explores themes of sci-fi and human nature.
Apocalypse Now,1995,Drama Mystery Thriller,drama legacy destiny redemption,Actor_25_A Actor_25_B Actor_25_C,Director_25,A compelling story titled 'Apocalypse Now' that explores themes of drama and human nature.
Apollo 11,1996,Action Crime Drama,action legacy destiny redemption,Actor_26_A Actor_26_B Actor_26_C,Director_26,A compelling story titled 'Apollo 11' that explores themes of action and human nature.
Apollo 13,1997,Comedy Drama Romance,comedy legacy destiny redemption,Actor_27_A Actor_27_B Actor_27_C,Director_27,A compelling story titled 'Apollo 13' that explores themes of comedy and human nature.
Au Hasard Balthazar,1998,Crime Mystery Thriller,crime legacy destiny redemption,Actor_28_A Actor_28_B Actor_28_C,Director_28,A compelling story titled 'Au Hasard Balthazar' that explores themes of crime and human nature.
Avatar,1999,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_29_A Actor_29_B Actor_29_C,Director_29,A compelling story titled 'Avatar' that explores themes of adventure and human nature.
Avengers: Endgame,2000,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_30_A Actor_30_B Actor_30_C,Director_30,A compelling story titled 'Avengers: Endgame' that explores themes of sci-fi and human nature.
Avengers: Infinity War,2001,Drama Mystery Thriller,drama legacy destiny redemption,Actor_31_A Actor_31_B Actor_31_C,Director_31,A compelling story titled 'Avengers: Infinity War' that explores themes of drama and human nature.
Babylon,2002,Action Crime Drama,action legacy destiny redemption,Actor_32_A Actor_32_B Actor_32_C,Director_32,A compelling story titled 'Babylon' that explores themes of action and human nature.
Back to the Future,2003,Comedy Drama Romance,comedy legacy destiny redemption,Actor_33_A Actor_33_B Actor_33_C,Director_33,A compelling story titled 'Back to the Future' that explores themes of comedy and human nature.
Barry Lyndon,2004,Crime Mystery Thriller,crime legacy destiny redemption,Actor_34_A Actor_34_B Actor_34_C,Director_34,A compelling story titled 'Barry Lyndon' that explores themes of crime and human nature.
Batman Begins,2005,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_35_A Actor_35_B Actor_35_C,Director_35,A compelling story titled 'Batman Begins' that explores themes of adventure and human nature.
Beauty and the Beast (2017),2006,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_36_A Actor_36_B Actor_36_C,Director_36,A compelling story titled 'Beauty and the Beast (2017)' that explores themes of sci-fi and human nature.
Before Sunrise,2007,Drama Mystery Thriller,drama legacy destiny redemption,Actor_37_A Actor_37_B Actor_37_C,Director_37,A compelling story titled 'Before Sunrise' that explores themes of drama and human nature.
Before Sunset,2008,Action Crime Drama,action legacy destiny redemption,Actor_38_A Actor_38_B Actor_38_C,Director_38,A compelling story titled 'Before Sunset' that explores themes of action and human nature.
Ben-Hur,2009,Comedy Drama Romance,comedy legacy destiny redemption,Actor_39_A Actor_39_B Actor_39_C,Director_39,A compelling story titled 'Ben-Hur' that explores themes of comedy and human nature.
Bicycle Thieves,2010,Crime Mystery Thriller,crime legacy destiny redemption,Actor_40_A Actor_40_B Actor_40_C,Director_40,A compelling story titled 'Bicycle Thieves' that explores themes of crime and human nature.
Black Panther,2011,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_41_A Actor_41_B Actor_41_C,Director_41,A compelling story titled 'Black Panther' that explores themes of adventure and human nature.
Blade Runner,2012,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_42_A Actor_42_B Actor_42_C,Director_42,A compelling story titled 'Blade Runner' that explores themes of sci-fi and human nature.
Blade Runner 2049,2013,Drama Mystery Thriller,drama legacy destiny redemption,Actor_43_A Actor_43_B Actor_43_C,Director_43,A compelling story titled 'Blade Runner 2049' that explores themes of drama and human nature.
Bohemian Rhapsody,2014,Action Crime Drama,action legacy destiny redemption,Actor_44_A Actor_44_B Actor_44_C,Director_44,A compelling story titled 'Bohemian Rhapsody' that explores themes of action and human nature.
Braveheart,2015,Comedy Drama Romance,comedy legacy destiny redemption,Actor_45_A Actor_45_B Actor_45_C,Director_45,A compelling story titled 'Braveheart' that explores themes of comedy and human nature.
Bridge of Spies,2016,Crime Mystery Thriller,crime legacy destiny redemption,Actor_46_A Actor_46_B Actor_46_C,Director_46,A compelling story titled 'Bridge of Spies' that explores themes of crime and human nature.
Brief Encounter,2017,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_47_A Actor_47_B Actor_47_C,Director_47,A compelling story titled 'Brief Encounter' that explores themes of adventure and human nature.
Bringing Up Baby,2018,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_48_A Actor_48_B Actor_48_C,Director_48,A compelling story titled 'Bringing Up Baby' that explores themes of sci-fi and human nature.
Broker,2019,Drama Mystery Thriller,drama legacy destiny redemption,Actor_49_A Actor_49_B Actor_49_C,Director_49,A compelling story titled 'Broker' that explores themes of drama and human nature.
Bullet Train,2020,Action Crime Drama,action legacy destiny redemption,Actor_50_A Actor_50_B Actor_50_C,Director_50,A compelling story titled 'Bullet Train' that explores themes of action and human nature.
Butch Cassidy and the Sundance Kid,2021,Comedy Drama Romance,comedy legacy destiny redemption,Actor_51_A Actor_51_B Actor_51_C,Director_51,A compelling story titled 'Butch Cassidy and the Sundance Kid' that explores themes of comedy and human nature.
CODA,2022,Crime Mystery Thriller,crime legacy destiny redemption,Actor_52_A Actor_52_B Actor_52_C,Director_52,A compelling story titled 'CODA' that explores themes of crime and human nature.
Capernaum,2023,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_53_A Actor_53_B Actor_53_C,Director_53,A compelling story titled 'Capernaum' that explores themes of adventure and human nature.
Captain America: The Winter Soldier,2024,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_54_A Actor_54_B Actor_54_C,Director_54,A compelling story titled 'Captain America: The Winter Soldier' that explores themes of sci-fi and human nature.
Captain Marvel,1970,Drama Mystery Thriller,drama legacy destiny redemption,Actor_55_A Actor_55_B Actor_55_C,Director_55,A compelling story titled 'Captain Marvel' that explores themes of drama and human nature.
Casablanca,1971,Action Crime Drama,action legacy destiny redemption,Actor_56_A Actor_56_B Actor_56_C,Director_56,A compelling story titled 'Casablanca' that explores themes of action and human nature.
Casino,1972,Comedy Drama Romance,comedy legacy destiny redemption,Actor_57_A Actor_57_B Actor_57_C,Director_57,A compelling story titled 'Casino' that explores themes of comedy and human nature.
Casino Royale,1973,Crime Mystery Thriller,crime legacy destiny redemption,Actor_58_A Actor_58_B Actor_58_C,Director_58,A compelling story titled 'Casino Royale' that explores themes of crime and human nature.
Catch Me If You Can,1974,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_59_A Actor_59_B Actor_59_C,Director_59,A compelling story titled 'Catch Me If You Can' that explores themes of adventure and human nature.
Chinatown,1975,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_60_A Actor_60_B Actor_60_C,Director_60,A compelling story titled 'Chinatown' that explores themes of sci-fi and human nature.
Chungking Express,1976,Drama Mystery Thriller,drama legacy destiny redemption,Actor_61_A Actor_61_B Actor_61_C,Director_61,A compelling story titled 'Chungking Express' that explores themes of drama and human nature.
Cinema Paradiso,1977,Action Crime Drama,action legacy destiny redemption,Actor_62_A Actor_62_B Actor_62_C,Director_62,A compelling story titled 'Cinema Paradiso' that explores themes of action and human nature.
Citizen Kane,1978,Comedy Drama Romance,comedy legacy destiny redemption,Actor_63_A Actor_63_B Actor_63_C,Director_63,A compelling story titled 'Citizen Kane' that explores themes of comedy and human nature.
City Lights,1979,Crime Mystery Thriller,crime legacy destiny redemption,Actor_64_A Actor_64_B Actor_64_C,Director_64,A compelling story titled 'City Lights' that explores themes of crime and human nature.
City of God,1980,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_65_A Actor_65_B Actor_65_C,Director_65,A compelling story titled 'City of God' that explores themes of adventure and human nature.
Coco,1981,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_66_A Actor_66_B Actor_66_C,Director_66,A compelling story titled 'Coco' that explores themes of sci-fi and human nature.
Come and See,1982,Drama Mystery Thriller,drama legacy destiny redemption,Actor_67_A Actor_67_B Actor_67_C,Director_67,A compelling story titled 'Come and See' that explores themes of drama and human nature.
Cool Hand Luke,1983,Action Crime Drama,action legacy destiny redemption,Actor_68_A Actor_68_B Actor_68_C,Director_68,A compelling story titled 'Cool Hand Luke' that explores themes of action and human nature.
"Crouching Tiger, Hidden Dragon",1984,Comedy Drama Romance,comedy legacy destiny redemption,Actor_69_A Actor_69_B Actor_69_C,Director_69,"A compelling story titled 'Crouching Tiger, Hidden Dragon' that explores themes of comedy and human nature."
Curse of the Golden Flower,1985,Crime Mystery Thriller,crime legacy destiny redemption,Actor_70_A Actor_70_B Actor_70_C,Director_70,A compelling story titled 'Curse of the Golden Flower' that explores themes of crime and human nature.
Darkest Hour,1986,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_71_A Actor_71_B Actor_71_C,Director_71,A compelling story titled 'Darkest Hour' that explores themes of adventure and human nature.
Dead Poets Society,1987,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_72_A Actor_72_B Actor_72_C,Director_72,A compelling story titled 'Dead Poets Society' that explores themes of sci-fi and human nature.
Deadpool,1988,Drama Mystery Thriller,drama legacy destiny redemption,Actor_73_A Actor_73_B Actor_73_C,Director_73,A compelling story titled 'Deadpool' that explores themes of drama and human nature.
Despicable Me,1989,Action Crime Drama,action legacy destiny redemption,Actor_74_A Actor_74_B Actor_74_C,Director_74,A compelling story titled 'Despicable Me' that explores themes of action and human nature.
Dial M for Murder,1990,Comedy Drama Romance,comedy legacy destiny redemption,Actor_75_A Actor_75_B Actor_75_C,Director_75,A compelling story titled 'Dial M for Murder' that explores themes of comedy and human nature.
Die Hard,1991,Crime Mystery Thriller,crime legacy destiny redemption,Actor_76_A Actor_76_B Actor_76_C,Director_76,A compelling story titled 'Die Hard' that explores themes of crime and human nature.
Django Unchained,1992,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_77_A Actor_77_B Actor_77_C,Director_77,A compelling story titled 'Django Unchained' that explores themes of adventure and human nature.
Doctor Strange,1993,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_78_A Actor_78_B Actor_78_C,Director_78,A compelling story titled 'Doctor Strange' that explores themes of sci-fi and human nature.
Double Indemnity,1994,Drama Mystery Thriller,drama legacy destiny redemption,Actor_79_A Actor_79_B Actor_79_C,Director_79,A compelling story titled 'Double Indemnity' that explores themes of drama and human nature.
Downfall,1995,Action Crime Drama,action legacy destiny redemption,Actor_80_A Actor_80_B Actor_80_C,Director_80,A compelling story titled 'Downfall' that explores themes of action and human nature.
Dr. Strangelove,1996,Comedy Drama Romance,comedy legacy destiny redemption,Actor_81_A Actor_81_B Actor_81_C,Director_81,A compelling story titled 'Dr. Strangelove' that explores themes of comedy and human nature.
Drive My Car,1997,Crime Mystery Thriller,crime legacy destiny redemption,Actor_82_A Actor_82_B Actor_82_C,Director_82,A compelling story titled 'Drive My Car' that explores themes of crime and human nature.
Duck Soup,1998,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_83_A Actor_83_B Actor_83_C,Director_83,A compelling story titled 'Duck Soup' that explores themes of adventure and human nature.
Dune,1999,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_84_A Actor_84_B Actor_84_C,Director_84,A compelling story titled 'Dune' that explores themes of sci-fi and human nature.
Dunkirk,2000,Drama Mystery Thriller,drama legacy destiny redemption,Actor_85_A Actor_85_B Actor_85_C,Director_85,A compelling story titled 'Dunkirk' that explores themes of drama and human nature.
Elvis,2001,Action Crime Drama,action legacy destiny redemption,Actor_86_A Actor_86_B Actor_86_C,Director_86,A compelling story titled 'Elvis' that explores themes of action and human nature.
Eternal Sunshine of the Spotless Mind,2002,Comedy Drama Romance,comedy legacy destiny redemption,Actor_87_A Actor_87_B Actor_87_C,Director_87,A compelling story titled 'Eternal Sunshine of the Spotless Mind' that explores themes of comedy and human nature.
Everyone Knows,2003,Crime Mystery Thriller,crime legacy destiny redemption,Actor_88_A Actor_88_B Actor_88_C,Director_88,A compelling story titled 'Everyone Knows' that explores themes of crime and human nature.
Everything Everywhere All at Once,2004,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_89_A Actor_89_B Actor_89_C,Director_89,A compelling story titled 'Everything Everywhere All at Once' that explores themes of adventure and human nature.
Fallen Angels,2005,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_90_A Actor_90_B Actor_90_C,Director_90,A compelling story titled 'Fallen Angels' that explores themes of sci-fi and human nature.
Fanny and Alexander,2006,Drama Mystery Thriller,drama legacy destiny redemption,Actor_91_A Actor_91_B Actor_91_C,Director_91,A compelling story titled 'Fanny and Alexander' that explores themes of drama and human nature.
Fantastic Beasts and Where to Find Them,2007,Action Crime Drama,action legacy destiny redemption,Actor_92_A Actor_92_B Actor_92_C,Director_92,A compelling story titled 'Fantastic Beasts and Where to Find Them' that explores themes of action and human nature.
Fast & Furious,2008,Comedy Drama Romance,comedy legacy destiny redemption,Actor_93_A Actor_93_B Actor_93_C,Director_93,A compelling story titled 'Fast & Furious' that explores themes of comedy and human nature.
Fast & Furious 6,2009,Crime Mystery Thriller,crime legacy destiny redemption,Actor_94_A Actor_94_B Actor_94_C,Director_94,A compelling story titled 'Fast & Furious 6' that explores themes of crime and human nature.
Fast Five,2010,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_95_A Actor_95_B Actor_95_C,Director_95,A compelling story titled 'Fast Five' that explores themes of adventure and human nature.
Fearless,2011,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_96_A Actor_96_B Actor_96_C,Director_96,A compelling story titled 'Fearless' that explores themes of sci-fi and human nature.
Fight Club,2012,Drama Mystery Thriller,drama legacy destiny redemption,Actor_97_A Actor_97_B Actor_97_C,Director_97,A compelling story titled 'Fight Club' that explores themes of drama and human nature.
Finding Dory,2013,Action Crime Drama,action legacy destiny redemption,Actor_98_A Actor_98_B Actor_98_C,Director_98,A compelling story titled 'Finding Dory' that explores themes of action and human nature.
Finding Nemo,2014,Comedy Drama Romance,comedy legacy destiny redemption,Actor_99_A Actor_99_B Actor_99_C,Director_99,A compelling story titled 'Finding Nemo' that explores themes of comedy and human nature.
First Man,2015,Crime Mystery Thriller,crime legacy destiny redemption,Actor_100_A Actor_100_B Actor_100_C,Director_100,A compelling story titled 'First Man' that explores themes of crime and human nature.
Flags of Our Fathers,2016,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_101_A Actor_101_B Actor_101_C,Director_101,A compelling story titled 'Flags of Our Fathers' that explores themes of adventure and human nature.
Forrest Gump,2017,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_102_A Actor_102_B Actor_102_C,Director_102,A compelling story titled 'Forrest Gump' that explores themes of sci-fi and human nature.
Frozen,2018,Drama Mystery Thriller,drama legacy destiny redemption,Actor_103_A Actor_103_B Actor_103_C,Director_103,A compelling story titled 'Frozen' that explores themes of drama and human nature.
Full Metal Jacket,2019,Action Crime Drama,action legacy destiny redemption,Actor_104_A Actor_104_B Actor_104_C,Director_104,A compelling story titled 'Full Metal Jacket' that explores themes of action and human nature.
Furious 7,2020,Comedy Drama Romance,comedy legacy destiny redemption,Actor_105_A Actor_105_B Actor_105_C,Director_105,A compelling story titled 'Furious 7' that explores themes of comedy and human nature.
Fury,2021,Crime Mystery Thriller,crime legacy destiny redemption,Actor_106_A Actor_106_B Actor_106_C,Director_106,A compelling story titled 'Fury' that explores themes of crime and human nature.
Gandhi,2022,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_107_A Actor_107_B Actor_107_C,Director_107,A compelling story titled 'Gandhi' that explores themes of adventure and human nature.
Gladiator,2023,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_108_A Actor_108_B Actor_108_C,Director_108,A compelling story titled 'Gladiator' that explores themes of sci-fi and human nature.
Gone Girl,2024,Drama Mystery Thriller,drama legacy destiny redemption,Actor_109_A Actor_109_B Actor_109_C,Director_109,A compelling story titled 'Gone Girl' that explores themes of drama and human nature.
Gone with the Wind,1970,Action Crime Drama,action legacy destiny redemption,Actor_110_A Actor_110_B Actor_110_C,Director_110,A compelling story titled 'Gone with the Wind' that explores themes of action and human nature.
Good Will Hunting,1971,Comedy Drama Romance,comedy legacy destiny redemption,Actor_111_A Actor_111_B Actor_111_C,Director_111,A compelling story titled 'Good Will Hunting' that explores themes of comedy and human nature.
Goodfellas,1972,Crime Mystery Thriller,crime legacy destiny redemption,Actor_112_A Actor_112_B Actor_112_C,Director_112,A compelling story titled 'Goodfellas' that explores themes of crime and human nature.
Gran Torino,1973,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_113_A Actor_113_B Actor_113_C,Director_113,A compelling story titled 'Gran Torino' that explores themes of adventure and human nature.
Grave of the Fireflies,1974,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_114_A Actor_114_B Actor_114_C,Director_114,A compelling story titled 'Grave of the Fireflies' that explores themes of sci-fi and human nature.
Gravity,1975,Drama Mystery Thriller,drama legacy destiny redemption,Actor_115_A Actor_115_B Actor_115_C,Director_115,A compelling story titled 'Gravity' that explores themes of drama and human nature.
Green Book,1976,Action Crime Drama,action legacy destiny redemption,Actor_116_A Actor_116_B Actor_116_C,Director_116,A compelling story titled 'Green Book' that explores themes of action and human nature.
Groundhog Day,1977,Comedy Drama Romance,comedy legacy destiny redemption,Actor_117_A Actor_117_B Actor_117_C,Director_117,A compelling story titled 'Groundhog Day' that explores themes of comedy and human nature.
Guardians of the Galaxy,1978,Crime Mystery Thriller,crime legacy destiny redemption,Actor_118_A Actor_118_B Actor_118_C,Director_118,A compelling story titled 'Guardians of the Galaxy' that explores themes of crime and human nature.
Hachi: A Dog's Tale,1979,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_119_A Actor_119_B Actor_119_C,Director_119,A compelling story titled 'Hachi: A Dog's Tale' that explores themes of adventure and human nature.
Hacksaw Ridge,1980,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_120_A Actor_120_B Actor_120_C,Director_120,A compelling story titled 'Hacksaw Ridge' that explores themes of sci-fi and human nature.
Hamilton,1981,Drama Mystery Thriller,drama legacy destiny redemption,Actor_121_A Actor_121_B Actor_121_C,Director_121,A compelling story titled 'Hamilton' that explores themes of drama and human nature.
Happy Together,1982,Action Crime Drama,action legacy destiny redemption,Actor_122_A Actor_122_B Actor_122_C,Director_122,A compelling story titled 'Happy Together' that explores themes of action and human nature.
Hara-Kiri,1983,Comedy Drama Romance,comedy legacy destiny redemption,Actor_123_A Actor_123_B Actor_123_C,Director_123,A compelling story titled 'Hara-Kiri' that explores themes of comedy and human nature.
Hard Boiled,1984,Crime Mystery Thriller,crime legacy destiny redemption,Actor_124_A Actor_124_B Actor_124_C,Director_124,A compelling story titled 'Hard Boiled' that explores themes of crime and human nature.
Harry Potter and the Chamber of Secrets,1985,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_125_A Actor_125_B Actor_125_C,Director_125,A compelling story titled 'Harry Potter and the Chamber of Secrets' that explores themes of adventure and human nature.
Harry Potter and the Deathly Hallows: Part 1,1986,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_126_A Actor_126_B Actor_126_C,Director_126,A compelling story titled 'Harry Potter and the Deathly Hallows: Part 1' that explores themes of sci-fi and human nature.
Harry Potter and the Deathly Hallows: Part 2,1987,Drama Mystery Thriller,drama legacy destiny redemption,Actor_127_A Actor_127_B Actor_127_C,Director_127,A compelling story titled 'Harry Potter and the Deathly Hallows: Part 2' that explores themes of drama and human nature.
Harry Potter and the Goblet of Fire,1988,Action Crime Drama,action legacy destiny redemption,Actor_128_A Actor_128_B Actor_128_C,Director_128,A compelling story titled 'Harry Potter and the Goblet of Fire' that explores themes of action and human nature.
Harry Potter and the Half-Blood Prince,1989,Comedy Drama Romance,comedy legacy destiny redemption,Actor_129_A Actor_129_B Actor_129_C,Director_129,A compelling story titled 'Harry Potter and the Half-Blood Prince' that explores themes of comedy and human nature.
Harry Potter and the Order of the Phoenix,1990,Crime Mystery Thriller,crime legacy destiny redemption,Actor_130_A Actor_130_B Actor_130_C,Director_130,A compelling story titled 'Harry Potter and the Order of the Phoenix' that explores themes of crime and human nature.
Harry Potter and the Prisoner of Azkaban,1991,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_131_A Actor_131_B Actor_131_C,Director_131,A compelling story titled 'Harry Potter and the Prisoner of Azkaban' that explores themes of adventure and human nature.
Harry Potter and the Sorcerer's Stone,1992,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_132_A Actor_132_B Actor_132_C,Director_132,A compelling story titled 'Harry Potter and the Sorcerer's Stone' that explores themes of sci-fi and human nature.
Harvey,1993,Drama Mystery Thriller,drama legacy destiny redemption,Actor_133_A Actor_133_B Actor_133_C,Director_133,A compelling story titled 'Harvey' that explores themes of drama and human nature.
Heat,1994,Action Crime Drama,action legacy destiny redemption,Actor_134_A Actor_134_B Actor_134_C,Director_134,A compelling story titled 'Heat' that explores themes of action and human nature.
Hero,1995,Comedy Drama Romance,comedy legacy destiny redemption,Actor_135_A Actor_135_B Actor_135_C,Director_135,A compelling story titled 'Hero' that explores themes of comedy and human nature.
Hidden Figures,1996,Crime Mystery Thriller,crime legacy destiny redemption,Actor_136_A Actor_136_B Actor_136_C,Director_136,A compelling story titled 'Hidden Figures' that explores themes of crime and human nature.
High Noon,1997,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_137_A Actor_137_B Actor_137_C,Director_137,A compelling story titled 'High Noon' that explores themes of adventure and human nature.
High and Low,1998,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_138_A Actor_138_B Actor_138_C,Director_138,A compelling story titled 'High and Low' that explores themes of sci-fi and human nature.
His Girl Friday,1999,Drama Mystery Thriller,drama legacy destiny redemption,Actor_139_A Actor_139_B Actor_139_C,Director_139,A compelling story titled 'His Girl Friday' that explores themes of drama and human nature.
Hotel Rwanda,2000,Action Crime Drama,action legacy destiny redemption,Actor_140_A Actor_140_B Actor_140_C,Director_140,A compelling story titled 'Hotel Rwanda' that explores themes of action and human nature.
House of Flying Daggers,2001,Comedy Drama Romance,comedy legacy destiny redemption,Actor_141_A Actor_141_B Actor_141_C,Director_141,A compelling story titled 'House of Flying Daggers' that explores themes of comedy and human nature.
How to Train Your Dragon,2002,Crime Mystery Thriller,crime legacy destiny redemption,Actor_142_A Actor_142_B Actor_142_C,Director_142,A compelling story titled 'How to Train Your Dragon' that explores themes of crime and human nature.
How to Train Your Dragon 2,2003,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_143_A Actor_143_B Actor_143_C,Director_143,A compelling story titled 'How to Train Your Dragon 2' that explores themes of adventure and human nature.
Howl's Moving Castle,2004,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_144_A Actor_144_B Actor_144_C,Director_144,A compelling story titled 'Howl's Moving Castle' that explores themes of sci-fi and human nature.
Ikiru,2005,Drama Mystery Thriller,drama legacy destiny redemption,Actor_145_A Actor_145_B Actor_145_C,Director_145,A compelling story titled 'Ikiru' that explores themes of drama and human nature.
In the Mood for Love,2006,Action Crime Drama,action legacy destiny redemption,Actor_146_A Actor_146_B Actor_146_C,Director_146,A compelling story titled 'In the Mood for Love' that explores themes of action and human nature.
